uid,car_vin,car_company,car_model,car_model_year,car_color
d27c946f-de14-4cce-b640-e1b5db287026,WA1DKAFP3CA071773,Mitsubishi,Endeavor,2006,Violet
195c636b-1f56-478d-99ad-95830f78192b,5FRYD4H8XFB796855,Volvo,V50,2005,Mauv
510d8475-e60b-4752-85c3-e26287d22ce8,WBADN53453G844753,BMW,5 Series,2008,Purple
fab10626-5301-4221-a51d-159ba6f57a95,19UUB2F50FA976522,Chevrolet,Corvette,1956,Yellow
2df32b6d-2bc2-4ad7-a8c6-3fb35043e8bf,WAUGL98E18A910611,Renault,Alliance,1983,Khaki
7ba528fd-8207-4fd4-b3ce-d6c9f66201ee,3C63DPKL6CG780272,Subaru,B9 Tribeca,2007,Teal
f4ae3af5-9d26-4df2-aa42-e2a9a0b13f1a,3HGGK5G55FM176024,Acura,Integra,2001,Turquoise
8b3df057-5a5a-4624-843a-5dcd873ebb63,JTHDU1EF9E5226507,Ford,E-Series,1988,Orange
37c4e408-c39f-44af-99e1-d68cf211c7a0,WAULT68E25A484288,Dodge,Ram 1500,2009,Khaki
37a15fb3-ca72-4b47-9938-976e9d447a87,NM0KS7DN4AT357454,Mercedes-Benz,C-Class,1997,Fuscia
2095c3b8-652b-4431-b7ab-7243c474a2be,1G6DA8EG7A0648569,Mitsubishi,Cordia,1987,Indigo
0537e33a-240e-48cd-a03b-52ddd02ddf74,1C4NJPBA5CD708596,Dodge,D250 Club,1992,Fuscia
1cbcc5fb-82b1-40f2-9f3e-7760107fd015,1N6AA0CC8FN264132,Mercury,Cougar,1995,Indigo
934c8202-0766-4d98-be3c-34d3dd1b913d,WAUWFAFR1AA460698,BMW,X5,2013,Turquoise
fe3e5064-1d7c-43b0-9cf3-ce4746c54951,WAUJFAFH2EN721420,Buick,Park Avenue,2003,Goldenrod
4e0d9d54-ec93-40fe-9b4c-4c8c8307df51,3D4PH6FV2AT489490,Subaru,Baja,2006,Orange
bf9e8b9a-70d5-4af3-85c7-6090c44585b4,1G6DL8EG4A0563666,Mitsubishi,Eclipse,1994,Yellow
f7a9883d-796c-4921-b231-d4145c5aa111,WAUCFAFR4DA138371,Plymouth,Laser,1991,Fuscia
7a9243bb-e35f-4e0c-a1bb-fb3d4382cf57,WBA3A5G54CN826721,Hyundai,XG350,2003,Crimson
c3a65f3a-efff-4949-9240-e97f3f14cde6,SCBBB7ZH3BC462948,Ford,E350,2008,Maroon
801e762b-6fdd-4666-a4d9-1fb93832c061,WBAKE5C53DJ043789,Chrysler,300M,1999,Indigo
e4377050-9aae-460c-a5bb-bd14c9063905,1FTSW3B59AE023442,Toyota,4Runner,2010,Turquoise
3bb7146a-69cb-496d-a2c8-51c8f682f209,WAULT68EX5A841877,Acura,RL,2004,Fuscia
f2905c61-4c39-4138-9a15-9be3e83233e3,1C4RJEAG9FC495836,Pontiac,Grand Prix,1997,Turquoise
d1a6f56a-f4f5-4e92-8335-7ae96e24f755,1C4RDJAG5DC293511,Chevrolet,Camaro,1972,Crimson
0882c32b-8063-4faf-81f8-790976a98806,WAUXL68E15A383907,BMW,3 Series,2000,Orange
de035dc7-0353-4fe6-81be-0d2ddb1e338f,1FMJK1F5XAE500073,Ford,LTD Crown Victoria,1984,Teal
73272771-6884-4868-91d8-3f4666d3ec58,1G6DM5ED0B0754617,Acura,Integra,1993,Puce
b42e7a19-1a89-4caa-b7ed-c1c31dd9517a,19UUA66256A197987,Dodge,Dakota Club,1996,Goldenrod
a8935913-ee55-48c8-8927-183adbfc4cbf,1NXBU4EE4AZ110080,Dodge,Magnum,2006,Aquamarine
cbc3e167-9ade-434a-ac8a-4c52f1343b73,5N1AN0NU4AC393806,Kia,Optima,2004,Aquamarine
3d8c2e1a-8ac3-4171-a5a8-4dcb23a8b04e,3D7TT2CTXBG585468,Honda,Civic Si,2003,Maroon
b881cb5e-fc90-48d9-aa77-812272b4dcb9,3GYFNDEY0BS540200,Lamborghini,Countach,1988,Puce
deddc5ea-4292-4b90-9777-0bdbae6dbea5,ML32A3HJ9FH440428,Hyundai,Sonata,1996,Mauv
f9b283e4-15c1-46f9-9488-b0e8dc5b8ab7,3LN6L2LU0DR666076,Land Rover,Range Rover,1993,Red
2a15d5f2-144d-463b-a2e2-42a940f7a79c,19UUA8F28EA057507,Lamborghini,Diablo,1998,Turquoise
8d452e39-0b61-46f7-a7d3-f05570b754d7,WUALNAFG1EN091611,Nissan,Altima,1994,Orange
41490876-2e48-4fee-a500-3ad2a8cc39bb,1FMEU7EE1AU135806,Suzuki,Sidekick,1995,Teal
510e74e9-6624-46b3-a3d1-b513cc0638a3,WBAEK13567C771307,Honda,Civic,2000,Puce
a5a994e0-17b9-4a6f-bba5-b0131ba20bb5,3C4PDDEG6ET632284,Chevrolet,Impala,2005,Teal
fe87b2d7-862b-4799-a829-2fe67994c119,JN1AJ0HP2BM830531,Chevrolet,APV,1993,Aquamarine
02566a2c-48d3-4fec-a722-65a7956d42e0,1FTEW1CM7BK460799,Mazda,MPV,1998,Goldenrod
e91847ff-22b2-4321-aa8e-038ec5d506e9,2T2BK1BA0FC949668,Volkswagen,Eurovan,2003,Goldenrod
beee7ff4-0064-40b6-9aa9-5b653a75965d,WUARU78E47N268876,Porsche,Cayenne,2009,Violet
58a83ba0-47fa-4d86-b226-3b00bf3d29c0,1N6AA0CA9AN093303,Saturn,L-Series,2001,Yellow
a4b929ef-aab5-4a26-8e6a-284860d701de,3C4PDCDG5CT230720,Mercedes-Benz,W201,1984,Violet
106784fc-77d8-4694-ac8c-09c3fd6d13fc,5UMDU93437L453350,Mercedes-Benz,300SE,1993,Turquoise
e3e876e9-ba6e-4f91-b545-ee6bc2f61e6f,WAUDK78T18A674907,Audi,A6,2000,Khaki
547bd3f1-cbf1-4cb1-b8fb-fb9868bf7326,WVGEF9BPXDD796270,Honda,Passport,1994,Indigo
4990db00-26cc-44d1-a231-96399121348c,5GALVCED8AJ532315,Nissan,Altima,2006,Orange
2cbe1364-2b04-4472-9abb-91b86c8b5592,KMHFG4JG0CA407979,Mazda,RX-8,2009,Teal
3cb6ef95-eb21-4241-bcf7-d9985310ae24,JTHHE5BC7F5130070,Maserati,Quattroporte,1985,Puce
96730692-4c83-4795-9cb2-71eab196de87,KMHGH4JH0FU149847,Infiniti,G25,2011,Fuscia
f73a8f36-a31b-4c4d-9fda-980e6099bf84,1FTWW3B57AE312031,Audi,Coupe GT,1985,Puce
312406bb-a17b-454e-bf75-b2aceac45a9b,2T1BURHE0FC581063,Volvo,V90,1997,Maroon
6b2beac2-6a3a-4de4-842c-13ce7c38be69,WAUFGBFCXDN074292,Honda,Accord,2006,Pink
23d75bee-58dd-42ed-88bc-665488a53ad1,WA1LMBFE9AD143064,Subaru,Loyale,1991,Puce
8314e159-b2a5-4a51-975a-ffb5b1a757ce,JTDKN3DP1C3933198,Rolls-Royce,Phantom,2007,Yellow
b6d988f8-72ad-4e03-bfd0-6cf1eec6086a,1GYS4HEF5DR270507,Chevrolet,G-Series G10,1993,Mauv
06b1352a-f4d4-4a1b-a8e3-83e2d7388047,1N6AD0CU0AC122393,Chrysler,Concorde,1998,Khaki
cd8e6ff6-22f3-45ed-a2da-4a6356c3276c,3C4PDDDG1CT750516,Lincoln,Aviator,2005,Red
e84f69cf-a6a5-432a-9ac6-9d5bd4b372a5,WDDHF8JB6DA787719,Volkswagen,Jetta,1984,Orange
34077b7d-ff8e-4efa-9f58-a81813ad5416,WAUSF98EX7A997229,Chevrolet,Corsica,1996,Goldenrod
56361dc5-e7e6-4875-a792-1b967d95695e,4JGBF2FE8BA704459,Nissan,350Z Roadster,2006,Aquamarine
60c88aac-bc91-413c-946b-77e6ae4ddbf6,1D7CW3GK1AS685304,Plymouth,Grand Voyager,1993,Yellow
d68ff537-9928-4991-b49f-fdea3eadbb12,1G4GD5G38FF188932,Volkswagen,Passat,2009,Crimson
0b5efcdc-284f-4806-904f-7717b165d333,1FTWW3B5XAE789259,Porsche,Cayenne,2008,Aquamarine
4895c336-c972-4cb3-9b3f-d65b8d2a603a,1GYEC63TX4R345408,Ford,F-Series,1987,Aquamarine
35588aff-6500-45e9-a4bd-345041ad9cea,3N1CN7APXEL221525,Cadillac,Eldorado,1993,Goldenrod
d1a50688-1cd3-4cee-af39-f3c3acba5529,1G6DU6EV7A0173757,Isuzu,Stylus,1993,Crimson
1aca00f3-3bf7-4657-9489-e7d692ca2fc7,SALGS2TF1FA020225,Mercury,Grand Marquis,1993,Purple
b3e8f828-174d-4c6f-9a09-4d817827f6cd,SALFR2BN4CH087713,Honda,Civic,1985,Red
5aac2b5a-a108-4b76-830a-bc621f8d6fec,SALWR2TF1FA457875,Chevrolet,Tahoe,2013,Red
6cf9b60e-7616-43f1-948d-8fc8cf9d7db2,JM1CR2W3XA0506761,Toyota,Supra,1994,Blue
8f10630f-b619-4868-b226-1a6b5f25fa33,1B3CC5FB3AN583552,BMW,5 Series,2004,Crimson
ad427c9f-47a1-4335-80b9-86ad5acf624b,1G6KD57907U076208,Volvo,V70,2002,Fuscia
7f8229fc-d42c-4aff-981f-abc17318b169,KL4CJHSB3DB498173,Mazda,MPV,1995,Khaki
3a9b2ac4-b67f-42f6-8e7a-afe25637afaf,5N1AR1NB2CC114817,Cadillac,STS-V,2009,Maroon
8ce459cc-6287-4f3b-8fc5-663635214f92,SALVP2BG8FH011547,Kia,Sorento,2005,Teal
a1d34d3d-e30f-4ace-8192-9f2dc1b5d8b2,KMHGC4DD7EU952404,Lexus,GS,1996,Indigo
60327cce-fa74-4dba-a0f2-72701ee4ae61,1G6AJ5S33F0309401,Toyota,RAV4,1996,Green
02b1c32b-e982-4310-b5f0-f69937c94d88,JA32U1FU8AU088995,Cadillac,Fleetwood,1992,Purple
0e9b7d06-2819-4ec0-9748-da2cab16e3bd,3GTXCYEJ8AG285582,Mitsubishi,Eclipse,1992,Crimson
a892b00e-af33-4ba7-b830-e277bbc01b5d,JTDBT4K3XB1135840,Lexus,RX,2002,Aquamarine
abf9a7b0-fe18-4945-b692-516a962bbb59,5NPDH4AE9FH557383,Dodge,Daytona,1992,Green
5053743e-f4fc-44e0-bd4f-85f810f74182,3GYFNDE38CS897887,Suzuki,Swift,1995,Purple
ce4c9a31-5b31-4cdc-bd38-623fd7576ecf,3C6LD5AT4CG990326,Pontiac,Aztek,2002,Violet
ab8cff0b-1872-4896-a6ba-74424f6b8dc4,1C6RD7JT1CS377496,Lincoln,MKS,2011,Yellow
c48eb4d6-9680-48d1-92bd-1e9778e7b659,JTHKD5BH8B2813881,GMC,1500,1993,Mauv
0e2b5e28-12df-40ce-8ae6-ca69b8275a1a,JN8AZ1MU9CW688387,GMC,Savana 2500,2005,Crimson
a0464422-9de6-4934-b514-aaad18373831,3N1CN7APXDL705614,Acura,TL,2005,Mauv
827840f7-43dd-44b9-9d8b-71a91e61e110,JTDKDTB36C1686923,Toyota,Camry,2012,Crimson
e5ef6d68-f2f4-4352-964f-2b5e8fa0099f,4T1BF3EK5AU702422,Mercedes-Benz,500SL,1992,Pink
32161833-94d8-4f1d-82c0-3ee415ac3399,1G6DJ5EV9A0972264,Land Rover,Range Rover,1987,Purple
40c7cefe-a43a-4e5b-aa1a-a56067c0914f,JM1NC2JF9C0134697,Suzuki,XL-7,2008,Yellow
5b001e5a-76f7-48ee-a888-8ddd14f6a56b,WAUR2AFD4EN525359,Lotus,Esprit,1989,Khaki
d0b7e5c5-2ff3-4280-b46c-086454bafacd,1G6AB5RA0F0433949,Chrysler,Cirrus,1999,Orange
360b96f7-f60e-43f4-9723-f03802d17243,1N6AA0EC9EN205876,Mitsubishi,Mirage,1999,Crimson
40e48b50-f80d-4b6d-b1a9-2ffebce514f0,SCFAB42331K877571,Toyota,Prius c,2012,Maroon
38aa4995-8ce4-48b4-bf38-d3a536a693f9,1G6KY54983U159355,Oldsmobile,Silhouette,1997,Goldenrod
f281421c-83a9-45a2-98af-dcf689806cb8,1D7CW3GK9AS476120,Jeep,Wrangler,1998,Mauv
84e67008-b607-4a3b-b2b1-1ec8e5805be1,WDDGF4HB5CF015448,Maserati,Coupe,2005,Crimson
717cdbc2-9f8a-4669-b352-edc03207f5e6,JTDKDTB36F1102573,Ford,Excursion,2005,Orange
2cde1c4c-0a73-4227-afad-7a199830a4f9,SCBZU25E91C937007,Buick,Century,1985,Indigo
f0f6bd58-00be-4fc6-b869-a29cef74fe23,WAUUL98E48A233136,Pontiac,Bonneville,1997,Yellow
a942e002-9966-4971-9e98-4dd3d20d8bae,1G6YV36A485091815,Volkswagen,Golf,2011,Mauv
3223fdb7-7187-4529-9d87-430f27d3b5fb,5UXWY3C5XF0673350,Oldsmobile,88,1992,Khaki
71e2a5ca-dea7-4401-aaf1-1827b72701a5,WVWAP7AN5DE364782,Bentley,Continental Super,2011,Violet
201e4d22-44f7-4ee8-b165-9019e83a8042,WAUAF78E25A723813,Chevrolet,Suburban 1500,1997,Teal
6a3e2991-1ed4-4ac0-bd10-eeddea03b461,WA1CGAFE6FD579735,Mercury,Sable,1990,Pink
57b4a22b-2aff-4b51-97be-d004940414e3,5GALRAED7AJ056471,Eagle,Vision,1996,Purple
b29a3234-e188-4bb5-8a91-68fde418b263,WAUMK78K89N760930,Toyota,Supra,1994,Orange
37ca655e-64de-4eb0-8d7f-a3a739368686,5N1AT2MK3FC457858,Dodge,Aries,1981,Red
189ed814-fb23-402f-a761-997f149e10ab,1C3BCBEB4DN538364,GMC,Yukon XL 2500,2013,Fuscia
7ade5fde-b37b-4f6e-ba6f-a68a182d930b,1GD322CG4EF165545,Volkswagen,Type 2,1985,Blue
ebace4b1-44b8-46bc-9307-b3cb3bf4680f,5N1AL0MM2FC787934,Lamborghini,Murciélago,2003,Puce
6569ba02-1015-4e45-8079-4c45c13b33d3,WAUEG78E46A498228,Infiniti,Q,1993,Teal
ecda81ec-7bed-4a1b-8daa-de3d9b2bfcc1,WAUAH78E36A588028,Plymouth,Neon,1997,Orange
850aec18-affa-495d-a92d-84740c187dfa,JTDKDTB36F1805896,GMC,Canyon,2011,Goldenrod
cbae0ef0-7a7e-46c5-961a-7150c132ef61,WVGAV7AX1BW135574,Lexus,IS,2003,Teal
b1568cec-d1ad-4eba-b9b3-89b13f86ae14,WAUJC58E42A769524,Mercury,Sable,2009,Fuscia
e9fdc4f9-79b3-4dcd-ba9e-5f1b41c60db3,WVWAN7AN9EE512746,Cadillac,Seville,1992,Orange
0386d5a1-5421-4d72-b38a-66b5333a2124,WAUEL94F35N926688,Porsche,Boxster,2011,Mauv
e13270a9-351f-4b5b-8bd6-8043dbabc415,WAUAF98E97A359582,Honda,Accord,2004,Purple
e3d40414-524d-4b9b-9b6f-733cfc1958bf,JTEBU4BF4DK400770,Suzuki,SJ,1985,Goldenrod
2d5847ad-00d4-4e3b-9c09-bef904de5f31,5J8TB3H51GL024374,Acura,TL,2002,Puce
a48343f4-cbae-4a76-b453-49cf901161c5,WAUD2AFD8DN594533,Nissan,Titan,2012,Turquoise
700b4d7b-1848-46b1-8607-e6c0932a9016,WAUBFAFL8BA487182,Pontiac,GTO,1973,Aquamarine
bf8c3fc2-552b-406d-990f-19601b74a864,JHMZF1D61ES788534,Mitsubishi,Pajero,1987,Mauv
716004d4-8525-4916-9bed-298aef844a2f,3GYFNAE30DS374024,Mercury,Cougar,1985,Goldenrod
bc159ac9-8909-4f8d-8673-4190ef8ceed9,5GALVBED7AJ533823,Mitsubishi,Mirage,1990,Crimson
e741e612-3455-478c-8a8d-65a82d7150cc,WA1CFAFP5DA359246,Ford,Econoline E350,1999,Red
0c75ac25-f137-4303-8310-b2c45b8b7d7b,KMHD35LH3FU450892,Nissan,Pathfinder,2003,Goldenrod
b3cf0fe6-803a-4acc-91b1-7ed4477f9864,WAUKF98E16A288171,Kia,Sorento,2009,Violet
df7fb8a6-89ca-4bb5-945b-168277496594,WBAFR9C50DD626848,Nissan,Pathfinder Armada,2004,Violet
f4e690a0-c6eb-49bf-af57-fc22558989a1,WUARL48H67K516204,Volkswagen,Eurovan,1999,Violet
5d73fcb6-1df6-4013-b5e9-cb36fdc7a1ec,3VWF17AT8FM318394,GMC,3500,1992,Pink
dccf2b69-ec5a-4ca9-8f5d-2d5ee3a16849,3VW217AU5FM137132,Dodge,Ram,2011,Puce
fb99b44c-7dfe-40a8-83fc-57d7e1158b68,1G4GL5G35DF088805,Lexus,GX,2012,Goldenrod
184c186e-e4c9-4fe2-b38d-61fe34da0c48,WAUXL68E24A012950,Honda,Ridgeline,2009,Mauv
1fa22c05-4a80-44b8-b0d4-565f468c75d7,3D73M3CL5BG578902,Ford,Bronco,1991,Goldenrod
395ff136-4bc3-4079-941e-e687e3d4bba0,JN1AZ4EH3DM149987,Jeep,Grand Cherokee,1997,Green
ace0b6b0-3a85-45eb-895a-37be91b8a9b0,KMHGH4JF7BU009688,Nissan,Sentra,2001,Fuscia
